"x"	"y"	"mncanht2023"	"sdcanht2023"
1010	350	22.6283639652135	5.90074753134222
-10	370	27.8820205843147	8.04524456761058
10	390	30.3773526393432	9.35976092379765
30	410	25.5033368607855	11.7494635607671
50	430	13.6117745301929	5.06716344203698
70	450	17.5772186718726	4.23964035512168
90	470	18.1129224441968	6.72641655241965
110	490	26.1686648659578	5.92694185192029
130	510	28.7292975841473	4.86623277044404
150	-10	23.5520283431022	6.05718073813078
170	10	20.7013435022833	8.08653303408712
190	30	22.7742462430952	6.14732479172166
210	50	23.77799804142	6.11682444025734
230	70	19.2605277068092	6.84659641699575
250	90	18.2897568385438	7.49135617820322
270	110	26.5282833716839	7.44210813672253
290	130	34.4824423205651	7.48803875486056
310	150	34.5257629773349	7.44446694746615
330	170	15.98528610578	7.61648775791445
350	190	13.8861721050183	4.76776960779221
370	210	21.5294114598688	6.28364601862922
390	230	27.4559048407364	7.02753593344357
410	250	31.8563443787167	6.62106239057514
430	270	23.1544303750092	9.73326560503325
450	290	26.3803401746248	8.39059621229333
470	310	28.5983043879004	8.99257829523686
490	330	32.3977884983945	8.03443070959324
510	350	21.5370054061268	13.4894476254338
530	370	20.6122474511307	8.29956168204799
550	390	34.4783146287147	7.97248652477529
570	410	35.9827373728141	4.96082515260864
590	430	32.5292822268656	8.94671404967507
610	450	27.0820523774375	6.54117150694889
630	470	34.0425179020295	4.88878407907089
650	490	29.105663683682	5.09819923158769
670	510	32.9174662221626	5.20251478808792
690	-10	28.4277549417869	10.569283976117
710	10	24.9619643452861	6.44459676559702
730	30	26.6817134474572	6.651675029834
750	50	29.6614851874888	8.38940143871423
770	70	24.6163821147475	10.3391206937727
790	90	14.8726786972394	4.54349382637926
810	110	21.4700451075261	9.82456677898246
830	130	41.5632413043995	4.44204915777589
850	150	33.6170735773051	7.51874056834987
870	170	21.7439835867555	7.18938994391543
890	190	25.0771770102265	9.65661140363478
910	210	39.8903665893009	8.3642509443956
930	230	16.7454529945048	11.4566225102296
950	250	17.0425943073473	8.13647421808985
970	270	11.6274898002496	5.05682856654613
990	290	20.5889698441476	7.93701485438369
1010	310	20.2304275777868	7.01345622091834
-10	330	22.8400360606656	7.00494274830666
10	350	26.9547427112083	7.97648438274455
30	370	28.9710150187397	5.10847926907382
50	390	20.6371082021795	5.19155445016026
70	410	22.0542707244358	5.52440599202019
90	430	18.5707855239762	7.54753636322828
110	450	25.3330994516049	7.6384712067748
130	470	24.6599463393695	5.87090982243967
150	490	23.8729072154101	8.03719415610179
170	510	16.2966608844897	7.43559320543737
190	-10	21.6335290918284	6.58915987886645
210	10	36.5315152862458	7.06177145069728
230	30	29.8545165470127	10.8898480393012
250	50	27.6530000158194	8.06389258313522
270	70	20.9089773820197	4.73486324701646
290	90	30.7922323959942	7.06315138087354
310	110	29.4138574215719	8.2239618600893
330	130	18.0053787640569	4.2686510980441
350	150	20.3059982981677	10.4676710663631
370	170	16.3866902204587	5.30360898898881
390	190	18.3646526666242	7.55218649072527
410	210	27.7141347163484	10.0413419657592
430	230	30.2758325495336	6.65598095949148
450	250	38.3334685157996	5.11931999393525
470	270	37.6151049556183	3.76872658055249
490	290	36.415175235449	5.04918475630483
510	310	35.2102401824315	9.29460256827244
530	330	32.777758529951	7.49502767806822
550	350	31.8750792699395	8.12281441780316
570	370	26.6553864889135	12.0919811523004
590	390	29.4155250193228	8.11879921472168
610	410	34.4098696302397	6.08789565992576
630	430	26.4485526834012	4.28180427906543
650	450	27.3277611513716	10.3968523040652
670	470	26.7442900368805	6.16922082471843
690	490	34.2179646830099	11.4335738660019
710	510	31.2848676482639	5.03048815183077
730	-10	24.1839057914787	7.16361066982066
750	10	14.7479704931689	7.79711212833503
770	30	19.6591649378423	10.1877025668811
790	50	18.1197622759458	5.152261331134
810	70	18.0019625712057	8.15254333173117
830	90	20.6028737588104	10.4440527084192
850	110	22.5563196358401	10.2900681573899
870	130	20.6772752506139	5.20849218919807
890	150	16.9566847179	12.0880254977716
910	170	23.2091945311045	9.46326973739837
930	190	28.8977207225508	5.35817237888411
950	210	21.0849710383032	10.3253236400414
970	230	19.8295964920059	7.12837054184752
990	250	22.7405010462044	9.75357287902632
1010	270	16.9548519668655	5.33903639216912
-10	290	14.9073882269505	8.95020465217773
10	310	25.2309607292713	7.24339765787851
30	330	27.7465911077293	7.89556144526473
50	350	25.4835236898837	8.08406925772688
70	370	24.0386817182069	6.30144388449612
90	390	17.150279075221	5.38742392373515
110	410	20.834474138186	7.11716657089584
130	430	16.0361784676454	4.04023442362779
150	450	28.923127245027	8.15037994038747
170	470	20.1317382918569	10.2806825895289
190	490	21.4068066245631	7.6780446809565
210	510	31.9228897306865	8.33995613725072
230	-10	34.6933524547528	6.05790420583431
250	10	19.5606393187143	10.4370028650574
270	30	17.8665410607195	7.17912029206504
290	50	24.3815533438174	5.4063351577183
310	70	24.7554258950772	6.62216059937374
330	90	22.7556642064508	6.32747417265273
350	110	30.8252535231892	4.09150778118649
370	130	22.6586356972748	7.8552187416489
390	150	26.2656340825404	7.42771155012268
410	170	21.9627162459827	6.69125345968182
430	190	27.7517124498021	6.56393074776325
450	210	27.5507950920097	5.81109761180753
470	230	28.3792533594186	4.11503805262614
490	250	31.3820176549796	4.83064818755625
510	270	27.6954882260941	8.69826827038673
530	290	23.1595349263529	9.13880962874065
550	310	31.8718588623532	5.4331491534849
570	330	31.302971713569	8.31181311857417
590	350	31.3774752453044	6.58903869928554
610	370	26.1617696828378	6.97136106419991
630	390	19.6394899597471	6.11932112083227
650	410	23.801336509303	6.60456418371994
670	430	28.4384063250969	4.9048897961094
690	450	23.7139862181769	9.04953089602964
710	470	34.7792373263256	5.29095997749332
730	490	28.3790244654605	8.8359733524971
750	510	22.989621185333	5.40112459528068
770	-10	19.0077340710364	5.95046456694823
790	10	20.908680593269	7.34149583700387
810	30	11.9224654893771	7.05974966972575
830	50	14.9769722628854	6.74846003836408
850	70	16.0567504443384	9.07726776304304
870	90	19.0644481624842	5.87175651764758
890	110	17.9776212644908	9.29598247965325
910	130	23.9864242205198	5.39330726686064
930	150	19.9367743915456	5.45711122232354
950	170	18.9755312369384	7.72201165204842
970	190	21.4968726755727	5.22811027653208
990	210	23.6664753024604	5.15759120191394
1010	230	23.4310070662892	10.0626396629441
-10	250	25.7413923117302	8.95457996699482
10	270	24.1725756216191	11.6785448533964
30	290	25.9536667673211	8.06749866380812
50	310	23.7635305076986	7.57976414993059
